title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Ansh Aaradhya,Yes,2 BHK  Apartment,91,Upcoming Projects,60 - 65 Lac,Khoraj,Ansh Group,60.0,65.0,62.5
Patrakar Heights,No,2 BHK  Apartment,,Upcoming Projects,None,Naranpura,Samyag Group,,,
Poonam Pride,Yes,4 BHK  Apartment,172,Completed Projects,2.25 Cr.,Shela,B R Developers,225.0,225.0,225.0
Shagun Saral 207,Yes,3 BHK  Apartment,192,Upcoming Projects,None,Zundal,aditya buildcon,,,
Express View City,No,Residential Plot,,Upcoming Projects,None,Dholera,Kavvan Infrra,,,
Nasim Greens,Yes,"4, 5 BHK  Apartment",56,Upcoming Projects,None,Ramol,SAMAY GROUP,,,
Sarovar Residency,No,Residential Plot,,Completed Projects,4 - 7.37 Lac,Dholera,Not known,4.0,7.37,5.6850000000000005
Kalash 2,No,Residential Plot,,Ongoing Projects,None,Bagodara,Arham Group,,,
Kalash 6,Yes,Residential Plot,,Ongoing Projects,None,Bagodara,Arham Group,,,
Kanha Weekend Homes,No,Residential Plot,,Ongoing Projects,None,Dholera,Not known,,,
ANMOL RESIDENCY,No,Residential Plot,,Ongoing Projects,4.28 - 11 Lac,Dholera,Dholera SIR Infra Development,4.28,11.0,7.640000000000001
Rameshwar City,Yes,3 BHK  Apartment,,Upcoming Projects,None,Naranpura,A Shridhar,,,
Balaji Upvan Phase 2,No,Residential Plot,,Ongoing Projects,None,Bagodara,JD Infrastructure Pvt Ltd,,,
Balaji Dream City,No,Residential Plot,1250,Ongoing Projects,4.50 - 32.67 Lac,Bagodara,JD Infrastructure Pvt Ltd,4.5,32.67,18.585
Rajvi Opal,Yes,3 BHK  Apartment,224,Ongoing Projects,None,Naranpura,Shivam Builders Pvt. Ltd,,,
Visionary Vista,No,Residential Plot,,Ongoing Projects,None,Dholera,T Homes Infra Pvt. Ltd,,,
ShantiBan Dreams,Yes,2 BHK  Apartment,96,Upcoming Projects,40.76 Lac,Dholera,SEKSARIA GROUP,40.76,40.76,40.76
Shriram Parisar,No,Residential Plot,,Ongoing Projects,None,Dholera,Shivgan Infratech LLP,,,
Palm Villas,No,Residential Plot,,Ongoing Projects,13.54 - 29.78 Lac,Dholera,Dcc buildtech LLP,13.54,29.78,21.66
Orchid Riverview,No,Residential Plot,,Ongoing Projects,6 Lac,Dholera,Nestoria Group,6.0,6.0,6.0
The Atlantis,Yes,3 BHK  Apartment,,Upcoming Projects,56 Lac,Zundal,Satyagrah Developers,56.0,56.0,56.0
Alpine Woods,Yes,4 BHK  Apartment,70,Completed Projects,2.05 Cr.,Sanathal,Alpine Infraheights LLP,204.99999999999997,204.99999999999997,204.99999999999997
Kavisha Aer,Yes,"2, 3 BHK  Apartment",392,Upcoming Projects,None,Shela,KAVISHA AER LLP,,,
Riviera Aspire,Yes,"3, 4, 5 BHK  Apartment",240,Upcoming Projects,None,Shela,SAFAL GOYAL REALTY LLP,,,
SOBHA DREAM HEIGHTS,Yes,"1, 2 BHK  Apartment",474,Upcoming Projects,85.49 Lac,Gandhinagar Road,Sobha Limited,85.49,85.49,85.49
Sobha Avalon,Yes,"1, 2, 3 BHK  Apartment",268,Upcoming Projects,None,Gandhinagar Road,Sobha Limited,,,
Bluvian Pratham,Yes,3 BHK  Apartment,117,Upcoming Projects,78 Lac,Bhadaj,Bluvian Group,78.0,78.0,78.0
Arham Farmhouse,No,Residential Plot,,Ongoing Projects,6.50 - 32.50 Lac,Dholka,Arham Group,6.5,32.5,19.5
Arham Kalash,No,Residential Plot,,Ongoing Projects,4.50 - 22.50 Lac,Dholka,Arham Group,4.5,22.5,13.5
Shamanta Residency,No,Residential Plot,,Ongoing Projects,5.79 Lac,Dholera,Shamanta builders llp,5.79,5.79,5.79
The Crown,Yes,4 BHK  Apartment,144,Upcoming Projects,2.30 Cr.,Bhat Circle,Shivalik Group,229.99999999999997,229.99999999999997,229.99999999999997
ATM Mall,Yes,Commercial Shops,,Upcoming Projects,None,Chandkheda,Atm ILYF Llp,,,
Shilp Ananta,Yes,2 BHK  Apartment,,Upcoming Projects,45.40 Lac,Shela,Not known,45.4,45.4,45.4
North Enclave,Yes,"2, 3, 4 BHK  Apartment",508,Ongoing Projects,29 - 69.80 Lac,S G Highway,Pacifica Companies,29.0,69.8,49.4
Breeze Residency,No,Residential Plot,,Ongoing Projects,8.25 - 57.75 Lac,Pipli,Samyak Buildcon,8.25,57.75,33.0
Sarang Elegance,Yes,3 BHK  Apartment,84,Upcoming Projects,66 Lac,Bopal,Maharaj Infrastructure,66.0,66.0,66.0
Lotus Villa,No,Individual Houses,15,Ongoing Projects,70 Lac,Bavla,Fidel Enterprises,70.0,70.0,70.0
Sun Business Hub,Yes,Business Center,,Upcoming Projects,None,Odhav,Dwarkadhish Developers,,,
Siddhipriya Imperial,Yes,"3, 4 BHK  Apartment",5,Upcoming Projects,None,South Bopal,Siddhipriya Group,,,
Arise Atlantis,Yes,2 BHK  Apartment,,Upcoming Projects,49 Lac,Jagatpur,Arise Group,49.0,49.0,49.0
The Atlantis,Yes,3 BHK  Apartment,,Upcoming Projects,56 Lac,Zundal,Satyagrah Developers,56.0,56.0,56.0
Alpine Woods,Yes,4 BHK  Apartment,70,Completed Projects,2.05 Cr.,Sanathal,Alpine Infraheights LLP,204.99999999999997,204.99999999999997,204.99999999999997
Kavisha Aer,Yes,"2, 3 BHK  Apartment",392,Upcoming Projects,None,Shela,KAVISHA AER LLP,,,
Riviera Aspire,Yes,"3, 4, 5 BHK  Apartment",240,Upcoming Projects,None,Shela,SAFAL GOYAL REALTY LLP,,,
SOBHA DREAM HEIGHTS,Yes,"1, 2 BHK  Apartment",474,Upcoming Projects,85.49 Lac,Gandhinagar Road,Sobha Limited,85.49,85.49,85.49
Sobha Avalon,Yes,"1, 2, 3 BHK  Apartment",268,Upcoming Projects,None,Gandhinagar Road,Sobha Limited,,,
Bluvian Pratham,Yes,3 BHK  Apartment,117,Upcoming Projects,78 Lac,Bhadaj,Bluvian Group,78.0,78.0,78.0
Arham Farmhouse,No,Residential Plot,,Ongoing Projects,6.50 - 32.50 Lac,Dholka,Arham Group,6.5,32.5,19.5
Arham Kalash,No,Residential Plot,,Ongoing Projects,4.50 - 22.50 Lac,Dholka,Arham Group,4.5,22.5,13.5
Shamanta Residency,No,Residential Plot,,Ongoing Projects,5.79 Lac,Dholera,Shamanta builders llp,5.79,5.79,5.79
The Crown,Yes,4 BHK  Apartment,144,Upcoming Projects,2.30 Cr.,Bhat Circle,Shivalik Group,229.99999999999997,229.99999999999997,229.99999999999997
ATM Mall,Yes,Commercial Shops,,Upcoming Projects,None,Chandkheda,Atm ILYF Llp,,,
Shilp Ananta,Yes,2 BHK  Apartment,,Upcoming Projects,45.40 Lac,Shela,Not known,45.4,45.4,45.4
North Enclave,Yes,"2, 3, 4 BHK  Apartment",508,Ongoing Projects,29 - 69.80 Lac,S G Highway,Pacifica Companies,29.0,69.8,49.4
Breeze Residency,No,Residential Plot,,Ongoing Projects,8.25 - 57.75 Lac,Pipli,Samyak Buildcon,8.25,57.75,33.0
Sarang Elegance,Yes,3 BHK  Apartment,84,Upcoming Projects,66 Lac,Bopal,Maharaj Infrastructure,66.0,66.0,66.0
Lotus Villa,No,Individual Houses,15,Ongoing Projects,70 Lac,Bavla,Fidel Enterprises,70.0,70.0,70.0
Sun Business Hub,Yes,Business Center,,Upcoming Projects,None,Odhav,Dwarkadhish Developers,,,
Siddhipriya Imperial,Yes,"3, 4 BHK  Apartment",5,Upcoming Projects,None,South Bopal,Siddhipriya Group,,,
Arise Atlantis,Yes,2 BHK  Apartment,,Upcoming Projects,49 Lac,Jagatpur,Arise Group,49.0,49.0,49.0
Sheetal Westpark Residency,Yes,"3, 4 BHK  Apartment",392,Ongoing Projects,81.60 Lac - 1.33 Cr.,Vastrapur,Sheetal Infrastructure Pvt. Ltd,81.6,133.0,107.3
Avirahi City,No,Residential Plot,1200,Completed Projects,26.50 Lac,Dholera,Not known,26.5,26.5,26.5
Dholera Metro City 5010,No,Residential Plot,,Ongoing Projects,10.92 - 11.08 Lac,Dholera,Not known,10.92,11.08,11.0
East Face,No,Office Space,,Completed Projects,None,Bodakdev,Not known,,,
Maruti Heights,Yes,1 BHK  Apartment,330,Completed Projects,17 Lac,Naroda,Not known,17.0,17.0,17.0
Maher Homes 4,Yes,"2, 3 BHK  Apartment",224,Completed Projects,None,Khadiya,Not known,,,
Ganesh Housing Malabar County,No,"2, 3 BHK  Apartment",600,Completed Projects,None,Chharodi,Not known,,,
Dholera Smart City Phase 2,No,Residential Plot,,Completed Projects,15 Lac,Dholera,Not known,15.0,15.0,15.0
7 Oak Shangri La,No,Residential Plot,323,Upcoming Projects,14.04 Lac,Dholera,Not known,14.04,14.04,14.04
Kuber Residency,No,2 BHK  Apartment,,Completed Projects,65 Lac,Science City,Not known,65.0,65.0,65.0
Capstone,No,Office Space,,Completed Projects,None,Parimal Garden,Not known,,,
Krish Exotica,No,1 BHK  Apartment,383,Completed Projects,25 Lac,Nikol,Not known,25.0,25.0,25.0
Colonnade 1,Yes,Office Space,,Completed Projects,5.05 Lac,Ambli,Not known,5.05,5.05,5.05
Trident Elanzza,Yes,"2, 3 BHK  Apartment",272,Upcoming Projects,None,Sardar Patel Ring Rd,Not known,,,
Casa The Status,Yes,2 BHK  Apartment,105,Upcoming Projects,68 Lac,Chandkheda,Not known,68.0,68.0,68.0
Serene Sparkles,Yes,3 BHK  Apartment,211,Upcoming Projects,83 - 84 Lac,South Bopal,Not known,83.0,84.0,83.5
Kanha 2 Weekend Homes,No,Residential Plot,,Ongoing Projects,4.78 - 25.07 Lac,Dholera,Jain Property,4.78,25.07,14.925
Mahadev Residency 3,Yes,Flats & Apartments,187,Upcoming Projects,95 Lac,New Maninagar,Not known,95.0,95.0,95.0
Arjun Icconic,Yes,Office Space,183,Completed Projects,None,Shastrinagar,Not known,,,
White Elegance,Yes,3 BHK  Apartment,258,Completed Projects,55 - 65 Lac,Nava Naroda,Not known,55.0,65.0,60.0
Beryl Crystal,Yes,3 BHK  Apartment,45,Completed Projects,1.11 Cr.,Science City,Not known,111.00000000000001,111.00000000000001,111.00000000000001
Santorini Square,No,Office Space,,Completed Projects,2.80 - 5.70 Cr.,Satellite,Not known,280.0,570.0,425.0
Dholera International Airport City 2,No,Commercial Lands /Inst. Land,,Completed Projects,23.33 - 24.15 Lac,Dholera,Not known,23.33,24.15,23.74
Satyamev Eminence,No,Showrooms,,Completed Projects,18 Lac,Science City,Not known,18.0,18.0,18.0
Ratnaakar Verte,Yes,3 BHK  Apartment,298,Completed Projects,75 Lac,South Bopal,Not known,75.0,75.0,75.0
Orchid Pride,Yes,3 BHK  Apartment,114,Completed Projects,None,South Bopal,Not known,,,
Fiona Residency,No,Residential Plot,,Completed Projects,6.80 - 7.32 Lac,Dholera,Not known,6.8,7.32,7.0600000000000005
Pragatya Residency,No,2 BHK  Apartment,,Completed Projects,56 - 58 Lac,200ft Ring Road,Not known,56.0,58.0,57.0
Bliss 107,Yes,Residential Plot,,Upcoming Projects,48 - 50 Lac,Dholera,Not known,48.0,50.0,49.0
Dholera Expressway Avenue,No,Residential Plot,,Completed Projects,20.79 - 25.33 Lac,Dholera,Not known,20.79,25.33,23.06
Al Hamd Ii,Yes,"2, 3 BHK  Apartment",78,Upcoming Projects,None,Juhapura,Not known,,,
Satkar Green,Yes,2 BHK  Apartment,172,Upcoming Projects,36.50 Lac,Naroda,Not known,36.5,36.5,36.5
Karnavati Enclave,Yes,Flats & Apartments,336,Completed Projects,None,New Maninagar,Not known,,,
Viva Elegance 2,Yes,2 BHK  Apartment,,Upcoming Projects,None,Shela,Not known,,,
Rameshwar Luxuriom Elite,No,5 BHK  Apartment,79,Upcoming Projects,2.19 Cr.,Kasindra,Not known,219.0,219.0,219.0
Shree Hari Villa,No,Residential Plot,,Completed Projects,9.75 Lac,Dholera,Not known,9.75,9.75,9.75
Bliss Grandeur,Yes,Residential Plot,,Upcoming Projects,47 - 50 Lac,Dholera,Not known,47.0,50.0,48.5
Shikhar Landmark,Yes,3 BHK  Apartment,126,Upcoming Projects,69 Lac,Tragad,Not known,69.0,69.0,69.0
Shakti Essence 171,Yes,4 BHK  Apartment,49,Upcoming Projects,1.77 Cr.,Jodhpur Road,Not known,177.0,177.0,177.0
Sakar Prime,Yes,Flats & Apartments,190,Upcoming Projects,1.65 Cr.,Zundal,Not known,165.0,165.0,165.0
Status Sky,Yes,3 BHK  Apartment,141,Upcoming Projects,66 Lac,Jagatpur,Not known,66.0,66.0,66.0
Rudram Sky,Yes,2 BHK  Apartment,,Completed Projects,46 Lac,New Ranip,Not known,46.0,46.0,46.0
Amor Elite,Yes,2 BHK  Apartment,28,Upcoming Projects,85 Lac,Chandra Nagar,Not known,85.0,85.0,85.0
Titanium Business Park,Yes,Office Space,,Completed Projects,None,Makarba,Not known,,,
Arpan Status Sky,Yes,3 BHK  Apartment,141,Upcoming Projects,66 Lac,Jagatpur,Not known,66.0,66.0,66.0
Fortune Business Hub,No,Office Space,,Completed Projects,None,Sola,Not known,,,
Sarthi Annexe,No,3 BHK  Apartment,154,Completed Projects,75 Lac,Kathwada,Not known,75.0,75.0,75.0
Dholera Forest Estate,No,Residential Plot,,Completed Projects,7.66 - 9.24 Lac,Dholera,Not known,7.66,9.24,8.45
Ideal Iris,No,2 BHK  Apartment,,Completed Projects,56 Lac,Vaishno Devi Circle,Not known,56.0,56.0,56.0
The Nikol Trade Center,Yes,Office Space,249,Completed Projects,None,Nikol,Not known,,,
Uniza Rajyash,Yes,Office Space,,Completed Projects,None,S G Highway,Not known,,,
Palm Glory,Yes,2 BHK  Apartment,84,Completed Projects,None,Gota,Not known,,,
Bhagwat Greens,No,1 BHK  Apartment,,Ongoing Projects,18.50 Lac,Narol,Not known,18.5,18.5,18.5
Aashray Arise,Yes,"2, 3 BHK  Apartment",208,Completed Projects,None,Shilaj,Not known,,,
Amrapali Axiom,Yes,Office Space,,Completed Projects,1.10 Cr.,Bopal,Not known,110.00000000000001,110.00000000000001,110.00000000000001
Indraprasth Living,Yes,3 BHK  Apartment,40,Ongoing Projects,None,Bopal,Not known,,,
Sahastra Splendora,No,4 BHK  Apartment,,Ongoing Projects,2.37 Cr.,Bopal,Not known,237.0,237.0,237.0
Aashray Aurum,Yes,3 BHK  Apartment,248,Upcoming Projects,1 Cr.,Bopal,Not known,100.0,100.0,100.0
Praharsh Highland,Yes,3 BHK  Apartment,176,Completed Projects,78 Lac,South Bopal,Not known,78.0,78.0,78.0
The Cbd,Yes,Showrooms,,Upcoming Projects,1.86 Cr.,Vaishno Devi Circle,Not known,186.0,186.0,186.0
Karnavati Skylane,Yes,3 BHK  Apartment,250,Completed Projects,53 Lac,Maninagar,Not known,53.0,53.0,53.0
Corus Ample,Yes,3 BHK  Apartment,92,Upcoming Projects,77.55 Lac,Sola,Not known,77.55,77.55,77.55
Ganesh Villa,Yes,Residential Plot,,Completed Projects,3.24 - 3.25 Cr.,Bhadaj,Not known,324.0,325.0,324.5
Soumya Residency,Yes,2 BHK  Apartment,,Ongoing Projects,6 Lac,Sarkhej,Not known,6.0,6.0,6.0
Satva Prime,Yes,4 BHK  Apartment,161,Upcoming Projects,80 Lac,Vastral Sp Ring Road,Not known,80.0,80.0,80.0
The Airport Gold,No,Residential Plot,,Ongoing Projects,24.50 Lac - 1.94 Cr.,Dholera,J Joshi Infra Project  Pvt  Ltd,24.5,194.0,109.25
Aayat Avenue,Yes,"2, 3 BHK  Apartment",76,Upcoming Projects,None,Sarkhej Okaf,Not known,,,
Dholera Airport City,No,Commercial Lands /Inst. Land,,Completed Projects,17.84 Lac,Dholera,Not known,17.84,17.84,17.84
Artham 97,Yes,3 BHK  Apartment,,Upcoming Projects,97 Lac,Khoraj,Not known,97.0,97.0,97.0
Saanvi Nirman Stellar,Yes,3 BHK  Apartment,,Upcoming Projects,68 Lac,South Bopal,Not known,68.0,68.0,68.0
Skywalk Mangalaam,Yes,3 BHK  Apartment,,Ongoing Projects,83 - 85 Lac,Chandkheda,Not known,83.0,85.0,84.0
Rajpath Enclave,No,Residential Plot,,Completed Projects,8 - 12.10 Lac,Dholera,Not known,8.0,12.1,10.05
Pv Enclave,Yes,Office Space,,Completed Projects,2.50 Cr.,Sindhubhavan Road,Not known,250.0,250.0,250.0
Setu Square,Yes,Office Space,,Completed Projects,None,New C G Road,Not known,,,
Avalon Park,Yes,4 BHK  Apartment,,Completed Projects,1.10 Cr.,Vatva,Not known,110.00000000000001,110.00000000000001,110.00000000000001
Pushkar Gold,Yes,2 BHK  Apartment,,Upcoming Projects,37 Lac,Isanpur,Not known,37.0,37.0,37.0
The Airport Gold Coast,No,Residential Plot,,Ongoing Projects,24.49 Lac - 1.94 Cr.,Dholera,Haresh,24.49,194.0,109.245
Rameshwar Luxuria Elite,No,5 BHK  Apartment,79,Upcoming Projects,2.19 Cr.,Kasindra,Not known,219.0,219.0,219.0
Verantes,Yes,Penthouse,,Completed Projects,11 Cr.,Hebat Pur Road,Not known,1100.0,1100.0,1100.0
7 Oak Super City,No,Residential Plot,,Upcoming Projects,14.66 Lac,Dholera,Not known,14.66,14.66,14.66
Solaris Business Hub,Yes,Office Space,581,Completed Projects,None,Naranpura,Not known,,,
Tulsi Status,Yes,3 BHK  Apartment,155,Completed Projects,65 Lac,Vaishno Devi Circle,Not known,65.0,65.0,65.0
Sarita Residency-7,Yes,2 BHK  Apartment,180,Upcoming Projects,34 Lac,Odhav,Not known,34.0,34.0,34.0
Greenera Gardenvilla 2,Yes,Residential Plot,,Upcoming Projects,75.68 Lac - 1.01 Cr.,Dholera,Not known,75.68,101.0,88.34
Supan Serenity,Yes,3 BHK  Apartment,,Completed Projects,None,Sola,Not known,,,
Malabar Exotica,Yes,3.5 BHK  Apartment,,Upcoming Projects,None,Tragad,Not known,,,
Pacifica North Enclave,Yes,"2, 3 BHK  Apartment",520,Completed Projects,None,Vaishno Devi Circle,Not known,,,
Asthmangal Orchid,No,2 BHK  Apartment,197,Completed Projects,40 Lac,Nikol Road,Not known,40.0,40.0,40.0
Krish Arcade,No,Office Space,164,Completed Projects,37 Lac,S P Ring Road,Not known,37.0,37.0,37.0
Aristo Crest,Yes,3 BHK  Apartment,39,Completed Projects,1.10 Cr.,Gota,Not known,110.00000000000001,110.00000000000001,110.00000000000001
Maruti L Axis,Yes,3 BHK  Apartment,,Upcoming Projects,85 Lac,Chandkheda,Not known,85.0,85.0,85.0
Sheladia Sarva,Yes,3 BHK  Apartment,164,Upcoming Projects,None,Shela,Not known,,,
Akshar Square,Yes,Office Space,88,Completed Projects,None,Bodakdev,Not known,,,
Rameshwar City Glory,No,"4, 5 BHK  Apartment",100,Upcoming Projects,1.20 - 1.86 Cr.,Kasindra,RAMESHWAR INFRABUILD DEVELOPERS PRIVATE LIMITED,120.0,186.0,153.0
Rameshwar Crystal,No,3 BHK  Apartment,91,Ongoing Projects,86 Lac - 1.09 Cr.,Kasindra,Not known,86.0,109.00000000000001,97.5
Ajmera Palm Land,No,3 BHK  Apartment,,Completed Projects,71.48 Lac,Ahme West,Not known,71.48,71.48,71.48
Kesar Harmony,Yes,3 BHK  Apartment,112,Completed Projects,80 Lac,Nikol,Not known,80.0,80.0,80.0
Himalaya Falaknuma,Yes,2 BHK  Apartment,,Upcoming Projects,70 Lac,Juhapura,Not known,70.0,70.0,70.0
Sg Business Hub,No,Showrooms,,Completed Projects,8 Lac,Gota,Not known,8.0,8.0,8.0
Solitaire Connect,Yes,Office Space,,Completed Projects,None,S G Highway,Not known,,,
Rameshwar Sky,Yes,"2, 3 BHK  Apartment",232,Upcoming Projects,38.15 - 49.60 Lac,Kasindra,Not known,38.15,49.6,43.875
Safal Profitaire,No,Office Space,,Completed Projects,None,Prahlad Nagar,Not known,,,
Dholera Smart City,No,Residential Plot,,Completed Projects,10.15 - 57.73 Lac,Dholera,Not known,10.15,57.73,33.94
Ganesh Gold,No,2 BHK  Apartment,,Completed Projects,45 Lac,Jagatpur,Not known,45.0,45.0,45.0
PALM DHOLERA,No,Residential Plot,,Ongoing Projects,3.26 - 10.15 Lac,Dholera,Engel Bert Estate PVT LTD,3.26,10.15,6.705
Swaminarayan Park 3,No,1 BHK  Apartment,,Completed Projects,30 Lac,Vasna,Not known,30.0,30.0,30.0
Neelkanth Green,Yes,6 BHK  Apartment,,Completed Projects,23 Cr.,Sindhubhavan Road,Not known,2300.0,2300.0,2300.0
Saral Revanta,Yes,"2, 3 BHK  Apartment",,Upcoming Projects,50.47 - 65.19 Lac,Gota,Not known,50.47,65.19,57.83
Aditya Prime,Yes,3 BHK  Apartment,,Completed Projects,75 Lac,Tragad,Not known,75.0,75.0,75.0
Sky City,No,"3, 4 BHK  Apartment",,Completed Projects,1.23 - 1.48 Cr.,Shela,Not known,123.0,148.0,135.5
Cube Club,No,Studio Apartments,,Completed Projects,32 Lac,Bavla,Not known,32.0,32.0,32.0
Trilokesh Riverside Park,No,2 BHK  Apartment,,Completed Projects,None,Vasna,Not known,,,
Nebula Aavas Sanand,Yes,2 BHK  Apartment,,Upcoming Projects,20.50 Lac,Sanand,Not known,20.5,20.5,20.5
Shalin Square,Yes,Commercial Shops,,Completed Projects,None,Hathijan,Not known,,,
Smarana Apartment,No,"2, 3 BHK  Apartment",,Completed Projects,None,Vejalpur,Not known,,,
The First,Yes,Office Space,,Completed Projects,5.10 Lac,Vastrapur,Not known,5.1,5.1,5.1
Suhaal Serenity,Yes,3 BHK  Apartment,,Completed Projects,6.50 Lac,Zundal,Not known,6.5,6.5,6.5
Venus Amadeus,No,Office Space,,Completed Projects,1.06 Cr.,Satellite,Not known,106.0,106.0,106.0
Venus Stratum,Yes,Commercial Shops,,Completed Projects,1.02 - 5.24 Cr.,Nehru Nagar,Not known,102.0,524.0,313.0
Parshwa Homes,Yes,3 BHK  Apartment,,Completed Projects,90 Lac,Sanand,Not known,90.0,90.0,90.0
Godrej Pinecrest,No,4 BHK  Apartment,,Completed Projects,None,Chandkheda,Not known,,,
Samudra Complex,No,Office Space,,Completed Projects,None,C. G. Road,Not known,,,
Samprati Elegance,Yes,"2, 3 BHK  Apartment",,Completed Projects,61.32 - 88.20 Lac,Sabarmati,Not known,61.32,88.2,74.76
Sambhavnath Upvan,Yes,2 BHK  Apartment,,Completed Projects,37 - 45 Lac,Chandkheda,Not known,37.0,45.0,41.0
Sai Exotica,Yes,Residential Plot,,Completed Projects,80 Lac,Nana Chiloda,Not known,80.0,80.0,80.0
Nobles Antrix,No,4 BHK  Apartment,,Completed Projects,None,Navrangpura,Not known,,,
Madhuram Blossom,Yes,"2, 3 BHK  Apartment",114,Completed Projects,55.50 Lac,Tragad,Not known,55.5,55.5,55.5
Sunflower,Yes,"3, 4 BHK  Apartment",56,Upcoming Projects,95.50 Lac - 1.90 Cr.,Shilaj,Not known,95.5,190.0,142.75
I SQUARE Corporate Park,Yes,Business Center,330,Completed Projects,None,Science City,Not known,,,
Kavisha Panorama,Yes,"2, 3 BHK  Apartment",194,Completed Projects,38.40 Lac,South Bopal,Not known,38.4,38.4,38.4
Kavisha Celebration,No,"2, 3 BHK  Apartment",214,Completed Projects,None,South Bopal,Not known,,,
SHAGUN PHASE 1 and 2,No,Residential Plot,,Ongoing Projects,6.60 Lac,Dholera,Shagun Associate,6.6,6.6,6.6
Jay Residency,Yes,"1, 2 BHK  Apartment",231,Completed Projects,23.50 - 28.90 Lac,Vastral,Not known,23.5,28.9,26.2
Shamanta Residency Phase 2,No,Residential Plot,,Ongoing Projects,5.79 Lac,Dholera,Shamanta builders llp,5.79,5.79,5.79
KHANA PHASE 2,No,Residential Plot,,Ongoing Projects,6.88 Lac,Dholera,Shagun Associate,6.88,6.88,6.88
Goyal Intercity,No,"2, 3, 4 BHK  Apartment",,Completed Projects,1.50 - 2.50 Cr.,Memnagar,Not known,150.0,250.0,200.0
Akshar Industrial Estate,Yes,Industrial Land / Plot,,Completed Projects,None,Changodar,Not known,,,
Ornet Park 2,No,Residential Plot,,Completed Projects,21.09 Cr.,Sindhu Bhavan Marg,Not known,2109.0,2109.0,2109.0
Dev Samruddhi,No,2 BHK  Apartment,240,Completed Projects,None,Vastral,Not known,,,
Spg Evans,Yes,"2, 3 BHK  Apartment",154,Completed Projects,None,South Bopal,Not known,,,
Palladium,No,Business Center,,Completed Projects,55 Lac,Prahlad Nagar,Not known,55.0,55.0,55.0
Madhav Residency,No,2 BHK  Apartment,,Completed Projects,34 Lac,S G Highway,Not known,34.0,34.0,34.0
Orchid Harmony,No,"3, 4 BHK  Apartment",384,Completed Projects,99 Lac,Sardar Patel Ring Road,Not known,99.0,99.0,99.0
Dholera A New Era,No,3 BHK  Apartment,,Completed Projects,7 Lac - 1.80 Cr.,Dholera,Not known,7.0,180.0,93.5
Suncity Apartments,No,"2, 3 BHK  Apartment",,Completed Projects,22 Lac,Bopal,Not known,22.0,22.0,22.0
Shivalay Smart City,No,Residential Plot,,Ongoing Projects,11.25 - 15.60 Lac,Dholera,Not known,11.25,15.6,13.425
Grace Business Park,Yes,Business Center,,Completed Projects,1.80 Cr.,Sola,Not known,180.0,180.0,180.0
Aristo Anandam 2,Yes,"3, 4 BHK  Apartment",160,Upcoming Projects,73 Lac,Tragad,Not known,73.0,73.0,73.0
Akibah Heights,Yes,"2, 3 BHK  Apartment",167,Completed Projects,25.49 - 32.40 Lac,Sarkhej,Not known,25.49,32.4,28.945
Alpha Business Park,Yes,Showrooms,,Completed Projects,6 - 94 Lac,Bodakdev,Not known,6.0,94.0,50.0
Aaryan Workspaces 3,No,Business Center,55,Upcoming Projects,6.87 Lac,Drive In Road,Not known,6.87,6.87,6.87
Sky Sol,Yes,"2, 3 BHK  Apartment",195,Completed Projects,33.15 - 43.20 Lac,South Bopal,Not known,33.15,43.2,38.175
Shaligram Prime,Yes,"2, 3 BHK  Apartment",992,Ongoing Projects,53 Lac,South Bopal,Not known,53.0,53.0,53.0
Swati Parkside,Yes,"3, 4 BHK  Apartment",380,Upcoming Projects,90 Lac - 1.92 Cr.,Khadiya,Not known,90.0,192.0,141.0
Pooja Heights,No,3 BHK  Apartment,112,Upcoming Projects,42.50 - 43 Lac,Lambha,Not known,42.5,43.0,42.75
K P Epitome,Yes,Office Space,456,Upcoming Projects,20.34 Lac,S G Highway,Not known,20.34,20.34,20.34
Param Drishti,No,"3, 4 BHK  Apartment",,Upcoming Projects,3 - 3.75 Cr.,Kolat,Not known,300.0,375.0,337.5
Serenity Sky,Yes,3 BHK  Apartment,244,Completed Projects,65 Lac,South Bopal,Not known,65.0,65.0,65.0
Swati Chrysantha,Yes,3 BHK  Apartment,330,Ongoing Projects,45.95 - 70 Lac,Khadiya,Not known,45.95,70.0,57.975
Goyal Orchid Heights,Yes,"3, 4 BHK  Apartment",272,Ongoing Projects,None,Shela,Goyal and Company,,,
Kavisha Amara,Yes,"2, 3 BHK  Apartment",328,Upcoming Projects,31.92 - 79 Lac,Shela,Not known,31.92,79.0,55.46
Swati Gardenia,No,"2, 3 BHK  Apartment",,Ongoing Projects,61 - 73.28 Lac,Prahlad Nagar,Swathi Procon,61.0,73.28,67.14
La Habitat,No,3 BHK  Apartment,,Ongoing Projects,1.15 Cr.,Thaltej,Pacifica Companies,114.99999999999999,114.99999999999999,114.99999999999999
Green Park Bungalow,No,4 BHK  Apartment,,Ongoing Projects,1.45 Cr.,Sanathal,Goyal and Company,145.0,145.0,145.0
Aaryan City,No,"2, 3 BHK  Apartment",,Ongoing Projects,35.52 - 45.32 Lac,Gota,Aryan Group Of Co.,35.52,45.32,40.42
